PID: 1, Tickets: 1, Ticks: 1
PID: 2, Tickets: 1, Ticks: 1
PID: 5, Tickets: 10, Ticks: 5
PID: 6, Tickets: 30, Ticks: 0
PID: 7, Tickets: 20, Ticks: 2
PID: 8, Tickets: 10, Ticks: 0
PID: 1, Tickets: 1, Ticks: 1
PID: 2, Tickets: 1, Ticks: 1
PID: 5, Tickets: 10, Ticks: 6
PID: 6, Tickets: 30, Ticks: 2
PID: 7, Tickets: 20, Ticks: 15
PID: 8, Tickets: 10, Ticks: 29
PID: 1, Tickets: 1, Ticks: 1
PID: 2, Tickets: 1, Ticks: 1
PID: 5, Tickets: 10, Ticks: 6
PID: 6, Tickets: 30, Ticks: 2
PID: 7, Tickets: 20, Ticks: 15
PID: 8, Tickets: 10, Ticks: 29
PID: 1, Tickets: 1, Ticks: 1
PID: 2, Tickets: 1, Ticks: 1
PID: 5, Tickets: 10, Ticks: 7
PID: 6, Tickets: 30, Ticks: 2
PID: 7, Tickets: 20, Ticks: 16
PID: 8, Tickets: 10, Ticks: 39
PID: 1, Tickets: 1, Ticks: 1
PID: 2, Tickets: 1, Ticks: 1
PID: 5, Tickets: 10, Ticks: 8
PID: 6, Tickets: 30, Ticks: 2
PID: 7, Tickets: 20, Ticks: 21
PID: 8, Tickets: 10, Ticks: 50
PID: 1, Tickets: 1, Ticks: 1
PID: 2, Tickets: 1, Ticks: 1
PID: 5, Tickets: 10, Ticks: 9
PID: 6, Tickets: 30, Ticks: 2
PID: 7, Tickets: 20, Ticks: 24
PID: 8, Tickets: 10, Ticks: 53
PID: 1, Tickets: 1, Ticks: 1
PID: 2, Tickets: 1, Ticks: 1
PID: 5, Tickets: 10, Ticks: 10
PID: 6, Tickets: 30, Ticks: 2
PID: 7, Tickets: 20, Ticks: 27
PID: 8, Tickets: 10, Ticks: 60
PID: 1, Tickets: 1, Ticks: 1
PID: 2, Tickets: 1, Ticks: 1
PID: 5, Tickets: 10, Ticks: 11
PID: 6, Tickets: 30, Ticks: 4
PID: 7, Tickets: 20, Ticks: 32
PID: 8, Tickets: 10, Ticks: 68
PID: 1, Tickets: 1, Ticks: 1
PID: 2, Tickets: 1, Ticks: 1
PID: 5, Tickets: 10, Ticks: 12
PID: 6, Tickets: 30, Ticks: 4
PID: 7, Tickets: 20, Ticks: 44
PID: 8, Tickets: 10, Ticks: 104
PID: 1, Tickets: 1, Ticks: 1
PID: 2, Tickets: 1, Ticks: 1
PID: 5, Tickets: 10, Ticks: 13
PID: 6, Tickets: 30, Ticks: 4
PID: 7, Tickets: 20, Ticks: 44
PID: 8, Tickets: 10, Ticks: 108
PID: 1, Tickets: 1, Ticks: 1
PID: 2, Tickets: 1, Ticks: 1
PID: 5, Tickets: 10, Ticks: 14
PID: 6, Tickets: 30, Ticks: 4
PID: 7, Tickets: 20, Ticks: 49
PID: 8, Tickets: 10, Ticks: 123
PID: 1, Tickets: 1, Ticks: 1
PID: 2, Tickets: 1, Ticks: 1
PID: 5, Tickets: 10, Ticks: 14
PID: 6, Tickets: 30, Ticks: 4
PID: 7, Tickets: 20, Ticks: 49
PID: 8, Tickets: 10, Ticks: 123
PID: 1, Tickets: 1, Ticks: 1
PID: 2, Tickets: 1, Ticks: 1
PID: 5, Tickets: 10, Ticks: 15
PID: 6, Tickets: 30, Ticks: 4
